transition_id,peak_id,E_gamma_keV,multipolarity,mixing_ratio,dmixing_ratio,alpha_tot,dalpha_tot,icc_status,source,comment
tr_lv_2923_lv_2823,pk_100p42,100.42,E2,,,1.473,,selected,imported_current_analysis,
tr_lv_2644_lv_2536,pk_108p54,108.54,M2,,,3.519,,selected,imported_current_analysis,
tr_lv_2616_lv_2502,pk_114p11,114.11,E1,,,0.1146,,selected,imported_current_analysis,
tr_lv_2644_lv_2502,pk_141p95,141.95,M2,,,1.332,,selected,imported_current_analysis,
tr_lv_2502_lv_2178,pk_324p60,324.6,M2,,,0.08157,,selected,imported_current_analysis,
tr_lv_2965_lv_2616,pk_348p77,348.77,M1,,,0.01623,,selected,imported_current_analysis,
tr_lv_2444_lv_1979,pk_465p50,465.5,M1,,,0.007924,,selected,imported_current_analysis,
tr_lv_2644_lv_2178,pk_466p36,466.36,M1,,,0.007888,,selected,imported_current_analysis,
tr_lv_2502_lv_1979,pk_523p14,523.14,M1,,,0.005969,,selected,imported_current_analysis,
tr_lv_1910_lv_1368,pk_541p88,541.88,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2536_lv_1979,pk_556p69,556.69,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_569_lv_0,pk_569p36,569.36,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2823_lv_2178,pk_645p23,645.23,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1979_lv_1329,pk_650p05,650.05,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2644_lv_1979,pk_665p27,665.27,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2668_lv_1979,pk_689p30,689.3,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1329_lv_569,pk_759p56,759.56,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2702_lv_1910,pk_792p04,792.04,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1368_lv_569,pk_798p43,798.43,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2800_lv_1979,pk_821p19,821.19,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2178_lv_1329,pk_848p72,848.72,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2854_lv_1979,pk_875p27,875.27,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1705_lv_569,pk_1135p23,1135.23,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1910_lv_569,pk_1340p61,1340.61,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1368_lv_0,pk_1367p97,1367.97,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_1992_lv_569,pk_1422p69,1422.69,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2196_lv_569,pk_1627p05,1627.05,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3050_lv_1329,pk_1721p39,1721.39,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2316_lv_569,pk_1746p49,1746.49,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2578_lv_569,pk_2008p21,2008.21,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_4955_lv_2923,pk_2031p71,2031.71,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2668_lv_569,pk_2098p96,2098.96,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2936_lv_569,pk_2366p11,2366.11,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_4302_lv_1705,pk_2596p22,2596.22,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_4135_lv_1368,pk_2767p02,2767.02,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3467_lv_569,pk_2897p36,2897.36,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_2936_lv_0,pk_2935p68,2935.68,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3555_lv_569,pk_2985p13,2985.13,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3608_lv_569,pk_3038p15,3038.15,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3050_lv_0,pk_3050p64,3050.64,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3809_lv_569,pk_3239p21,3239.21,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3467_lv_0,pk_3467p18,3467.18,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3555_lv_0,pk_3555p10,3555.1,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_4302_lv_569,pk_3732p81,3732.81,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_3809_lv_0,pk_3808p63,3808.63,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_4084_lv_0,pk_4084p20,4084.2,no IC,,,,,not_calculated,imported_current_analysis,
tr_lv_4302_lv_0,pk_4302p83,4302.83,no IC,,,,,not_calculated,imported_current_analysis,
