peak_id,e_gamma_keV,de_gamma_keV,level_initial_id,level_final_id,current_relative_percent,current_relative_err_percent,current_absolute_percent,current_absolute_err_percent,literature_status,literature_source_primary,literature_e_gamma_keV,literature_i_gamma_rel_percent,literature_i_gamma_abs_percent,delta_e_current_minus_lit_keV,intensity_ratio_current_to_lit,agreement_status,quality_flag,comment
pk_100p42,100.42,0.11,lv_2923,lv_2823,1.1288,0.0749,1.0071,0.0672,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_108p54,108.54,0.11,lv_2644,lv_2536,1.949,0.0574,1.739,0.0527,previously_reported,Smith2008,,,,,,needs_literature_numeric_values,normal,
pk_114p11,114.11,0.1,lv_2616,lv_2502,2.1067,0.2216,1.8796,0.1982,previously_reported,Smith2008,,,,,,needs_literature_check_and_doublet_caution,doublet_affected,doublet?
pk_141p95,141.95,0.12,lv_2644,lv_2502,0.5991,0.0192,0.5345,0.0175,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_324p60,324.6,0.1,lv_2502,lv_2178,5.8139,0.0996,5.1874,0.096,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_348p77,348.77,0.11,lv_2965,lv_2616,1.1727,0.0227,1.0463,0.0216,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_465p50,465.5,1.0,lv_2444,lv_1979,1.9911,0.0,1.7765,0.0125,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_check_and_doublet_caution,estimated_from_doublet_split,"doublet, bad fit"
pk_466p36,466.36,0.1,lv_2644,lv_2178,4.7478,0.0863,4.2361,0.0825,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_check_and_doublet_caution,doublet_affected,"doublet, 665 keV coincidence"
pk_523p14,523.14,0.1,lv_2502,lv_1979,9.1892,0.1066,8.199,0.1113,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_541p88,541.88,0.11,lv_1910,lv_1368,0.6397,0.0133,0.5708,0.0125,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_556p69,556.69,0.1,lv_2536,lv_1979,4.9626,0.0601,4.4278,0.062,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_569p36,569.36,0.1,lv_569,lv_0,100.0,0.0,89.2237,0.6278,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_645p23,645.23,0.13,lv_2823,lv_2178,1.1566,0.0198,1.032,0.0191,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_650p05,650.05,0.1,lv_1979,lv_1329,42.4173,0.4048,37.8463,0.4487,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_665p27,665.27,0.1,lv_2644,lv_1979,6.4309,0.096,5.7379,0.0947,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_check_and_doublet_caution,doublet_affected,doublet
pk_689p30,689.3,0.11,lv_2668,lv_1979,2.1443,0.0301,1.9132,0.03,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_check_and_doublet_caution,doublet_affected,doublet
pk_759p56,759.56,0.1,lv_1329,lv_569,68.1662,0.6015,60.8204,0.6864,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_792p04,792.04,0.15,lv_2702,lv_1910,0.4149,0.0113,0.3702,0.0104,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_798p43,798.43,0.1,lv_1368,lv_569,7.2524,0.076,6.4709,0.0817,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_821p19,821.19,0.1,lv_2800,lv_1979,3.9677,0.0473,3.5402,0.049,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_848p72,848.72,0.1,lv_2178,lv_1329,18.7311,0.1723,16.7126,0.1936,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
pk_875p27,875.27,0.11,lv_2854,lv_1979,1.4814,0.0244,1.3217,0.0236,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,doublet_affected,doublet
