peak_id,e_gamma_keV,de_gamma_keV,fwhm_keV,fwhm_err_percent,integral_counts,integral_err,efficiency,efficiency_err,fit_error_percent
pk_100p42,100.42,0.11,1.84,8.54,6865,83,0.11733,0.01918,16.34339
pk_108p54,108.54,0.11,1.69,2.01,6583,81,0.11907,0.01577,13.2404
pk_114p11,114.11,0.1,1.78,0.77,28789,170,0.11882,0.01389,11.68916
pk_141p95,141.95,0.12,1.69,4.13,3618,60,0.10984,0.00795,7.2333
pk_324p60,324.6,0.1,2.03,0.23,39265,198,0.05698,0.00093,1.63162
pk_348p77,348.77,0.11,2.07,6.61,7930,89,0.0536,0.00078,1.45266
pk_465p50,465.5,1.0,1.0,0.0,10698,103,0.04225,0.0004,0.94505
pk_466p36,466.36,0.1,2.76,0.01,25473,160,0.04218,0.00039,0.93378
pk_523p14,523.14,0.1,2.14,0.09,45097,212,0.03851,0.0003,0.79156
pk_541p88,541.88,0.11,2.1,2.68,3073,55,0.03747,0.00028,0.75289
pk_556p69,556.69,0.1,2.25,1.59,23340,153,0.03669,0.00027,0.72466
pk_569p36,569.36,0.1,2.21,0.2,462191,680,0.03605,0.00025,0.70194
pk_645p23,645.23,0.13,1.7,22.22,4857,70,0.03276,0.00019,0.58895
pk_650p05,650.05,0.1,2.18,0.72,177118,421,0.03257,0.00019,0.5829
pk_665p27,665.27,0.1,2.18,4.87,26385,162,0.03201,0.00018,0.56458
pk_689p30,689.3,0.11,2.26,6.62,8565,93,0.03116,0.00017,0.53791
pk_759p56,759.56,0.1,2.39,0.2,253069,503,0.02896,0.00014,0.47403
pk_792p04,792.04,0.15,2.07,8.91,1493,39,0.02806,0.00013,0.45085
pk_798p43,798.43,0.1,2.32,1.85,25935,161,0.0279,0.00012,0.44672
pk_821p19,821.19,0.1,2.32,0.53,13893,118,0.02731,0.00012,0.43314
pk_848p72,848.72,0.1,2.38,0.13,63982,253,0.02665,0.00011,0.41892
pk_875p27,875.27,0.11,2.7,7.69,4945,70,0.02604,0.00011,0.4074
pk_1135p23,1135.23,0.11,2.3,16.52,5431,74,0.02139,8e-05,0.38097
pk_1340p61,1340.61,0.12,1.96,4.72,2010,45,0.0188,8e-05,0.42125
pk_1367p97,1367.97,0.1,2.63,2.97,7318,86,0.01851,8e-05,0.42828
pk_1422p69,1422.69,0.11,2.45,2.22,2650,51,0.01794,8e-05,0.44296
pk_1627p05,1627.05,0.12,2.87,2.41,3253,57,0.01611,8e-05,0.50239
pk_1721p39,1721.39,0.13,2.9,10.36,1931,44,0.01538,8e-05,0.53126
pk_1746p49,1746.49,0.12,2.58,0.35,2465,50,0.0152,8e-05,0.53906
