level_id,E_level_keV,dE_level_keV,Jpi,Jpi_status,Jpi_origin_year,T12_s,dT12_s,level_status,comment
lv_4955,4955.0,0.275499546,,unknown,,,,active,
lv_4302,4301.94,0.5,,unknown,,,,active,
lv_4135,4134.9,0.177393602,,unknown,,,,active,
lv_4084,4084.2,0.22,,unknown,,,,active,
lv_3809,3808.6,0.15,,unknown,,,,active,
lv_3608,3607.51,0.205912603,,unknown,,,,active,
lv_3555,3554.8,0.3,,unknown,,,,active,
lv_3467,3466.95,0.3,,unknown,,,,active,
lv_3050,3050.48,0.2,,unknown,,,,active,
lv_2965,2964.99,0.249198716,,unknown,,,,active,
lv_2936,2935.58,0.154339811,,unknown,,,,active,
lv_2923,2923.29,0.242899156,,unknown,,,,active,
lv_2854,2854.24,0.205182845,,unknown,,,,active,
lv_2823,2822.87,0.216564078,(8+),tentative,1990.0,,,active,
lv_2800,2800.16,0.2,,unknown,,,,active,
lv_2702,2702.14,0.232881397,,unknown,,,,active,
lv_2668,2668.27,0.205182845,,unknown,,,,active,
lv_2644,2644.12,0.2,,unknown,,,,active,
lv_2616,2616.22,0.223606798,(8-),tentative,2008.0,1.35e-09,2.9e-10,active,
lv_2578,2577.57,0.148660687,,unknown,,,,active,
lv_2536,2535.66,0.2,,unknown,,,,active,
lv_2502,2502.11,0.2,(7-),tentative,2008.0,2.4e-10,6e-11,active,
lv_2444,2444.47,1.014889157,,unknown,,,,active,
lv_2316,2315.85,0.156204994,,unknown,,,,active,
lv_2196,2196.41,0.156204994,,unknown,,,,active,
lv_2178,2177.64,0.173205081,(6+),tentative,1990.0,,,active,
lv_1992,1992.05,0.148660687,0(+),tentative,1995.0,,,active,
lv_1979,1978.97,0.173205081,"(3,4+)",tentative,1978.0,,,active,"Alternative assignment from 2008: (5-). Default kept as (3,4+) because this level appears beta-fed under current analysis assumptions."
lv_1910,1909.97,0.156204994,(3-),tentative,1995.0,,,active,
lv_1705,1704.59,0.148660687,0(+),tentative,1995.0,,,active,
lv_1368,1367.88,0.1207,(2)+,tentative,1978.0,,,active,
lv_1329,1328.92,0.141421356,(4+),tentative,1978.0,,,active,
lv_569,569.36,0.1,2+,adopted,1971.0,1e-11,5e-12,active,
lv_0,0.0,0.0,0+,adopted,,5.24,0.03,active,
