E (keV),E error (keV),from (keV),from spin,onto (keV),onto spin,relative (%),relative err (%),absolute (%),absolute err (%),E1,M1,E2,M2,E3,M3,E4,M4,E5,M5
100.42,0.11,2923.29,,2822.87,(8+),0.456432339374507,0.074871259729956,0.407246013146545,0.066969402315147,0.1649,0.4576,1.473,4.686,14.78,41.62,184.5,395.9,2492,4144
108.54,0.11,2644.12,,2535.66,,0.431286786303245,0.057434308456477,0.38481020973553,0.051438664092765,0.1321,0.3676,1.116,3.519,10.25,29.44,115.4,261.5,1422,2530
114.11,0.10,2616.22,(8-),2502.11,(7-),1.89005828731244,0.221627548844273,1.68638073099158,0.198707534248907,0.1146,0.3196,0.9342,2.929,8.115,23.59,85.6,200.6,995,1847
141.95,0.12,2644.12,,2502.11,(7-),0.256905269477294,0.019156117929476,0.229220494968307,0.017296949766707,0.06151,0.1744,0.4301,1.332,2.995,9.085,24.13,64.33,216.9,482.2
324.60,0.10,2502.11,(7-),2177.64,(6+),5.37541328630704,0.099571581757454,4.79614488505233,0.104791967718691,0.006277,0.01947,0.02508,0.08157,0.09182,0.3082,0.3402,1.165,1.316,4.471
348.77,0.11,2964.99,,2616.22,(8-),1.1539931493008,0.022747707416187,1.02963587088331,0.023543264096103,0.005207,0.01623,0.01991,0.06504,0.06962,0.2346,0.245,0.8445,0.8943,3.077
465.50,1.00,2444.47,,1978.97,"(3,4+),(5-)",0,0,0,0,0.002529,0.007924,0.008199,0.02692,0.02418,0.08139,0.07059,0.243,0.2093,0.7285
466.36,0.10,2644.12,,2177.64,(6+),6.68894732809124,0.086252983820838,5.96812911031987,0.103464753681062,0.002518,0.007888,0.008154,0.02677,0.02403,0.08086,0.07006,0.2411,0.2075,0.7221
523.14,0.10,2502.11,(7-),1978.97,"(3,4+),(5-)",9.13468085708405,0.106632445186395,8.15030408562089,0.134055646040769,0.001917,0.005969,0.005851,0.01908,0.01621,0.05403,0.04423,0.1503,0.1218,0.4188
541.88,0.11,1909.97,(3-),1367.88,(2)+,0.6397273001028,0.013320899406977,0.570788636109556,0.013601728321734,0.001766,0.005484,0.005298,0.01723,0.01442,0.04785,0.03857,0.1304,0.104,0.3556
556.69,0.10,2535.66,,1978.97,"(3,4+),(5-)",4.96256078911418,0.060125608938632,4.42778243788262,0.0742311773932,0.001659,0.005141,0.004915,0.01594,0.01319,0.04363,0.03478,0.1171,0.09223,0.3141
569.36,0.10,569.36,2+,0,0+,100,1.01425398349688,89.2237420566285,1.37398239652369,0.001576,0.004872,0.004619,0.01494,0.01226,0.04041,0.03193,0.1071,0.08356,0.2833
622.40,0.15,3266.52,,2644.12,,0.539483075611783,0.012293201733232,0.481346987823023,0.012305120569758,0.00129,0.003943,0.003629,0.0116,0.009225,0.02995,0.02294,0.07551,0.05706,0.1897
645.23,0.13,2822.87,(8+),2177.64,(6+),1.15662532963997,0.019764776384232,1.0319844006796,0.021306854913944,0.001191,0.003622,0.003299,0.01048,0.008246,0.02658,0.02013,0.06572,0.04911,0.1618
650.05,0.10,1978.97,"(3,4+),(5-)",1328.92,(4+),42.4173185713244,0.404766403546991,37.8463189094169,0.568105871165569,0.001172,0.003559,0.003235,0.01026,0.008059,0.02594,0.0196,0.06388,0.04763,0.1566
665.27,0.10,2644.12,,1978.97,"(3,4+),(5-)",9.15895147661783,0.096025643960781,8.17195924058926,0.127699416805533,0.001114,0.003371,0.003046,0.009621,0.007507,0.02404,0.01805,0.05848,0.04332,0.1415
667.00,1.00,3169.71,,2502.11,(7-),0,0,0,0,0.001108,0.003351,0.003025,0.009552,0.007448,0.02384,0.01788,0.0579,0.04286,0.1399
689.30,0.11,2668.27,,1978.97,"(3,4+),(5-)",2.14426329049025,0.030106190328899,1.913191947322,0.034828411019384,0.001032,0.003103,0.002779,0.008719,0.006741,0.02141,0.01593,0.05113,0.03753,0.1214
759.56,0.10,1328.92,(4+),569.36,2+,68.1662030922888,0.601477138272326,60.8204372168613,0.88581889141142,0.0008402,0.002478,0.002177,0.006683,0.005063,0.01569,0.01143,0.03566,0.02563,0.08038
792.04,0.15,2702.14,,1909.97,(3-),0.41485997139074,0.011298967208509,0.370153590769877,0.010955832727336,0.0007704,0.00225,0.001964,0.005967,0.00449,0.01375,0.009949,0.03062,0.02186,0.06755
798.43,0.10,1367.88,(2)+,569.36,2+,7.25242849440012,0.076046911753357,6.47088809268499,0.101123505679793,0.0007578,0.002209,0.001926,0.00584,0.004389,0.0134,0.00969,0.02974,0.02121,0.06535
821.19,0.10,2800.16,,1978.97,"(3,4+),(5-)",3.96773483231524,0.047310555607631,3.54016149227595,0.058860924933113,0.0007156,0.002072,0.0018,0.005416,0.004055,0.01228,0.008842,0.02688,0.0191,0.05825
848.72,0.10,2177.64,(6+),1328.92,(4+),18.7310823525613,0.172300163246462,16.712572602664,0.247256692551931,0.0006694,0.001922,0.001664,0.00496,0.003699,0.01109,0.007953,0.0239,0.01691,0.05095
867.52,0.16,2196.41,,1328.92,(4+),0.11100797187821,0.005820519468346,0.099045466490909,0.005318587444841,0.0006407,0.001829,0.00158,0.00468,0.003483,0.01037,0.007418,0.02212,0.01562,0.04666
875.27,0.11,2854.24,,1978.97,"(3,4+),(5-)",1.48137830681331,0.024354057512195,1.32174115935396,0.026584583687948,0.0006294,0.001792,0.001547,0.004572,0.003399,0.01009,0.007213,0.02144,0.01512,0.04503
