E (keV),E err (keV),decay,origin,comment,FWHM (keV),FWHM err (%),integral (counts),integral err,efficiency,efficiency err,error (%),emitted,emitted err,relative (%),relative err (%),absolute (%),absolute err (%),sum (%)
124.70,0.20,uncertain,new?,,1.64,3.45,1200,35,0.11641,0.01109,9.52411,10308,991,0.0804,0.0080,0.0717,0.0072,21.837200
239.71,0.19,uncertain,new?,doublet with 238.6 – 212Pb,2.30,6.87,1936,44,0.07401,0.00202,2.73369,26153,715,0.2040,0.0074,0.1820,0.0067,
297.67,0.14,uncertain,new?,,2.19,2.96,3145,56,0.06138,0.00116,1.88380,51235,966,0.3997,0.0108,0.3566,0.0099,
311.95,0.14,uncertain,new?,"doublet?, 821 keV single escape?",1.74,4.46,2063,45,0.05896,0.00103,1.74216,34984,610,0.2729,0.0079,0.2435,0.0073,
409.53,0.17,uncertain,new?,,2.45,9.96,2098,46,0.04688,0.00053,1.13215,44745,507,0.3490,0.0089,0.3114,0.0083,
560.00,1.00,uncertain,new?,no peak,1.00,0.00,0,0,0.03652,0.00026,0.72210,0,0,0.0000,0.0000,0.0000,0.0000,
586.07,0.17,uncertain,new?,doublet with 583.2 – 208Tl,2.72,3.39,1600,40,0.03526,0.00024,0.67391,45364,306,0.3539,0.0095,0.3157,0.0088,
618.64,0.14,uncertain,new?,,2.04,12.41,2060,45,0.03383,0.00021,0.62455,60900,380,0.4751,0.0114,0.4239,0.0106,
687.00,1.00,uncertain,new?,"doublet, bad fit",1.00,0.00,0,0,0.03124,0.00017,0.54116,0,0,0.0000,0.0000,0.0000,0.0000,
713.52,0.11,uncertain,new?,,1.96,0.71,2215,47,0.03036,0.00016,0.51363,72967,375,0.5692,0.0131,0.5079,0.0122,
720.48,0.12,uncertain,new?,,2.27,2.33,1903,44,0.03013,0.00015,0.50710,63150,320,0.4926,0.0121,0.4395,0.0112,
734.77,0.13,uncertain,new?,,2.17,10.38,1839,43,0.02969,0.00015,0.49432,61918,306,0.4830,0.0120,0.4310,0.0111,
739.42,0.16,uncertain,new?,,1.55,10.27,794,28,0.02955,0.00014,0.49034,26868,132,0.2096,0.0077,0.1870,0.0070,
808.83,0.15,uncertain,new?,,2.27,5.48,2596,51,0.02763,0.00012,0.44031,93951,414,0.7329,0.0157,0.6539,0.0147,
814.47,0.13,uncertain,new?,,2.21,11.54,2750,52,0.02748,0.00012,0.43697,100064,437,0.7806,0.0163,0.6965,0.0153,
840.72,0.21,uncertain,new?,,2.56,9.26,1081,33,0.02684,0.00011,0.42281,40281,170,0.3142,0.0099,0.2804,0.0091,
957.42,0.12,uncertain,new?,,2.03,3.06,1365,37,0.02434,0.00009,0.38395,56062,215,0.4373,0.0124,0.3902,0.0114,
1060.70,0.13,uncertain,new?,,2.13,4.02,1000,32,0.02252,0.00008,0.37592,44397,167,0.3463,0.0113,0.3090,0.0103,
1115.73,0.15,uncertain,new?,1627 keV single escape?,2.27,0.69,1220,35,0.02167,0.00008,0.37895,56269,213,0.4389,0.0131,0.3916,0.0120,
1173.90,0.31,uncertain,new?,,5.88,2.54,1404,37,0.02084,0.00008,0.38617,67355,260,0.5254,0.0147,0.4688,0.0135,
1218.99,0.14,uncertain,new?,,3.39,0.91,2096,46,0.02025,0.00008,0.39394,103493,408,0.8073,0.0188,0.7203,0.0176,
1252.85,0.13,uncertain,new?,,3.19,2.24,1372,37,0.01982,0.00008,0.40075,69214,277,0.5399,0.0152,0.4817,0.0140,
1288.00,1.00,uncertain,new?,no peak,1.00,0.00,0,0,0.01940,0.00008,0.40853,0,0,0.0000,0.0000,0.0000,0.0000,
1315.00,0.23,uncertain,new?,uncertain,3.25,1.41,1035,32,0.01909,0.00008,0.41492,54194,225,0.4228,0.0136,0.3772,0.0124,
1335.29,0.13,uncertain,new?,,1.97,0.20,921,30,0.01886,0.00008,0.41992,48803,205,0.3807,0.0129,0.3397,0.0118,
1358.08,0.27,uncertain,new?,strange,2.68,9.46,461,21,0.01861,0.00008,0.42571,24741,105,0.1930,0.0091,0.1722,0.0082,
1384.74,0.23,uncertain,new?,,1.83,18.28,346,19,0.01833,0.00008,0.43270,18849,82,0.1470,0.0080,0.1312,0.0072,
1474.51,0.13,uncertain,new?,,2.42,3.48,1092,33,0.01744,0.00008,0.45748,62619,286,0.4885,0.0154,0.4358,0.0140,
1506.16,0.12,uncertain,new?,,2.97,0.52,1984,45,0.01715,0.00008,0.46656,115717,540,0.9027,0.0217,0.8054,0.0202,
1515.41,0.14,uncertain,new?,,2.22,1.26,817,29,0.01706,0.00008,0.46925,47857,225,0.3733,0.0135,0.3331,0.0122,
1612.01,0.17,uncertain,new?,,2.12,1.99,716,27,0.01623,0.00008,0.49786,44080,219,0.3439,0.0132,0.3068,0.0120,
1667.15,0.18,uncertain,new?,,4.66,0.95,2081,46,0.01579,0.00008,0.51458,131762,678,1.0278,0.0243,0.9171,0.0226,
1850.54,0.16,uncertain,new?,,3.20,1.89,825,29,0.01449,0.00008,0.57188,56898,325,0.4439,0.0160,0.3960,0.0145,
1903.16,0.12,uncertain,new?,,3.05,5.17,1811,43,0.01416,0.00008,0.58880,127903,753,0.9977,0.0252,0.8902,0.0233,
2104.17,0.28,uncertain,new?,doublet with 2103.5 – 208Tl escape,2.46,0.16,542,23,0.01300,0.00009,0.65573,41686,273,0.3252,0.0143,0.2901,0.0129,
2115.17,0.29,uncertain,new?,,4.52,4.82,1092,33,0.01294,0.00009,0.65951,84324,556,0.6578,0.0209,0.5869,0.0191,
2159.57,0.16,uncertain,new?,,3.57,4.14,1312,36,0.01272,0.00009,0.67491,103179,696,0.8049,0.0236,0.7181,0.0216,
2196.62,0.28,uncertain,new?,,2.65,4.73,301,17,0.01253,0.00009,0.68794,23980,165,0.1871,0.0110,0.1669,0.0098,
2219.67,0.18,uncertain,new?,,2.39,0.72,384,20,0.01242,0.00009,0.69612,30881,215,0.2409,0.0125,0.2149,0.0113,
2237.90,0.15,uncertain,new?,,0.99,2.93,127,11,0.01233,0.00009,0.70264,10299,72,0.0803,0.0072,0.0717,0.0064,
2246.73,0.13,uncertain,new?,,3.49,2.90,1371,37,0.01229,0.00009,0.70581,111519,787,0.8699,0.0251,0.7762,0.0230,
2325.05,0.17,uncertain,new?,,3.56,1.77,1048,32,0.01193,0.00009,0.73439,87808,645,0.6850,0.0223,0.6112,0.0204,
2386.88,0.28,uncertain,new?,2897 keV single escape?,5.33,4.14,865,29,0.01166,0.00009,0.75752,74146,562,0.5784,0.0206,0.5161,0.0187,
2466.41,0.22,uncertain,new?,,4.05,7.59,668,26,0.01133,0.00009,0.78804,58919,464,0.4596,0.0185,0.4101,0.0167,
2796.61,0.14,uncertain,new?,,3.19,1.07,876,30,0.01013,0.00009,0.92448,86450,799,0.6744,0.0241,0.6017,0.0219,
3297.71,0.13,uncertain,new?,3808 keV single escape?,3.77,4.69,1067,33,0.00873,0.00010,1.16178,122231,1420,0.9535,0.0320,0.8507,0.0291,
622.40,0.15,122Ag -> 122Cd removed_from_scheme,removed_from_scheme,1135 keV single escape?; removed from main scheme; possible 1135.23 keV single escape / artifact,1.76,8.57,2329,48,0.03367,0.00021,0.61928,69157,428,0.5395,0.0123,0.4813,0.0115,
667.00,1.00,122Ag -> 122Cd removed_from_scheme,removed_from_scheme,"doublet, bad fit; removed from main scheme; no convincing coincidence support for 3169.71 level; former doublet split retained only as uncertain",1.00,0.00,11193,106,0.03194,0.00018,0.56362,350407,1975,2.7335,0.0000,2.4389,0.0172,
867.52,0.16,122Ag -> 122Cd removed_from_scheme,removed_from_scheme,removed from main scheme; weak/literature-only; 2196.41 level retained via 1627.05 keV,1.64,9.20,373,19,0.02621,0.00011,0.41055,14230,58,0.1110,0.0058,0.0990,0.0052,
884.06,0.39,122Ag -> 122Cd removed_from_scheme,removed_from_scheme,removed from main scheme; weak/not confirmed; 3061.70 level removed,0.57,32.68,134,12,0.02584,0.00010,0.40404,5185,21,0.0404,0.0035,0.0361,0.0031,
