transition_id,peak_id,e_gamma_keV,de_gamma_keV,level_initial_id,level_final_id,e_level_initial_keV,e_level_final_keV,current_relative_percent,current_relative_err_percent,current_absolute_percent,current_absolute_err_percent,integral_counts,integral_err,current_origin_label,literature_status,literature_source_primary,literature_e_gamma_keV,literature_i_gamma_rel_percent,literature_i_gamma_abs_percent,delta_e_current_minus_lit_keV,intensity_ratio_current_to_lit,agreement_status,quality_flag,comment
tr_lv_2923_lv_2823,pk_100p42,100.42,0.11,lv_2923,lv_2823,2923.29,2822.87,1.1288,0.0749,1.0071,0.0672,6865,83,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_2644_lv_2536,pk_108p54,108.54,0.11,lv_2644,lv_2536,2644.12,2535.66,1.9490,0.0574,1.7390,0.0527,6583,81,2008 work,previously_reported,Smith2008,,,,,,needs_literature_numeric_values,normal,
tr_lv_2616_lv_2502,pk_114p11,114.11,0.10,lv_2616,lv_2502,2616.22,2502.11,2.1067,0.2216,1.8796,0.1982,28789,170,2008 work,previously_reported,Smith2008,,,,,,needs_literature_check_and_doublet_caution,doublet_affected,doublet?
tr_lv_2644_lv_2502,pk_141p95,141.95,0.12,lv_2644,lv_2502,2644.12,2502.11,0.5991,0.0192,0.5345,0.0175,3618,60,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_2502_lv_2178,pk_324p60,324.60,0.10,lv_2502,lv_2178,2502.11,2177.64,5.8139,0.0996,5.1874,0.0960,39265,198,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
tr_lv_2965_lv_2616,pk_348p77,348.77,0.11,lv_2965,lv_2616,2964.99,2616.22,1.1727,0.0227,1.0463,0.0216,7930,89,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_2444_lv_1979,pk_465p50,465.50,1.00,lv_2444,lv_1979,2444.47,1978.97,1.9911,0.0000,1.7765,0.0125,10698,103,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_check_and_doublet_caution,estimated_from_doublet_split,"doublet, bad fit"
tr_lv_2644_lv_2178,pk_466p36,466.36,0.10,lv_2644,lv_2178,2644.12,2177.64,4.7478,0.0863,4.2361,0.0825,25473,160,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_check_and_doublet_caution,doublet_affected,"doublet, 665 keV coincidence"
tr_lv_2502_lv_1979,pk_523p14,523.14,0.10,lv_2502,lv_1979,2502.11,1978.97,9.1892,0.1066,8.1990,0.1113,45097,212,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
tr_lv_1910_lv_1368,pk_541p88,541.88,0.11,lv_1910,lv_1368,1909.97,1367.88,0.6397,0.0133,0.5708,0.0125,3073,55,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
