category,file_tool_id,rank_in_category,energy_keV,decay,origin,comment,integral_counts,relative_percent,absolute_percent
background,E6p4IxOWjkTCUnp9IU3QW,1,510.75,annihilation,known,,11045,2.1954,1.9588
background,E6p4IxOWjkTCUnp9IU3QW,2,1460.79,Background – 40K,known,,745,0.3306,0.2949
background,E6p4IxOWjkTCUnp9IU3QW,3,911.63,Background – 228Ac,known,,235,0.0724,0.0646
background,E6p4IxOWjkTCUnp9IU3QW,4,352.00,Background – 214Pb,known,bad fit,0,0.0000,0.0000
daughters,RyYAURGN7yd8XCzikCoQs,1,1140.42,122In → 122Sn,known,,55984,20.4908,18.2826
daughters,RyYAURGN7yd8XCzikCoQs,2,1013.21,122In → 122Sn,known,,9458,3.1638,2.8228
daughters,RyYAURGN7yd8XCzikCoQs,3,2759.07,122In → 122Sn,known,,3605,2.7415,2.4461
daughters,RyYAURGN7yd8XCzikCoQs,4,2065.75,122In → 122Sn,known,,2907,1.7169,1.5319
daughters,RyYAURGN7yd8XCzikCoQs,5,1389.81,122In → 122Sn,known,,3710,1.5835,1.4128
daughters,RyYAURGN7yd8XCzikCoQs,6,2975.22,122In → 122Sn,known,doublet?,938,0.7635,0.6812
daughters,RyYAURGN7yd8XCzikCoQs,7,1635.40,122In → 122Sn,known,,1180,0.5735,0.5117
daughters,RyYAURGN7yd8XCzikCoQs,8,2407.71,122In → 122Sn,known,doublet?,803,0.5410,0.4827
neglected,DhM2-5t83q5CrDNE6irWX,1,1234.07,?,neglected,1746 keV single escape?,978,0.3802,0.3392
neglected,DhM2-5t83q5CrDNE6irWX,2,966.42,?,neglected,doublet,930,0.3000,0.2677
neglected,DhM2-5t83q5CrDNE6irWX,3,990.07,?,neglected,,842,0.2768,0.2470
neglected,DhM2-5t83q5CrDNE6irWX,4,1196.16,?,neglected,,727,0.2758,0.2461
neglected,DhM2-5t83q5CrDNE6irWX,5,919.77,?,neglected,doublet,738,0.2295,0.2048
neglected,DhM2-5t83q5CrDNE6irWX,6,937.90,?,neglected,,661,0.2086,0.1861
neglected,DhM2-5t83q5CrDNE6irWX,7,608.45,?,neglected,,913,0.2079,0.1855
neglected,DhM2-5t83q5CrDNE6irWX,8,1282.81,?,neglected,,425,0.1702,0.1518
unidentified,gcuIxaW_wCpqLsiwWopUQ,1,1328.88,?,?,,3204,1.3199,1.1777
unidentified,gcuIxaW_wCpqLsiwWopUQ,2,778.56,?,?,doublet,3883,1.0655,0.9507
unidentified,gcuIxaW_wCpqLsiwWopUQ,3,2955.33,?,?,3467 keV single escape?,878,0.7099,0.6334
unidentified,gcuIxaW_wCpqLsiwWopUQ,4,1409.19,?,?,,1508,0.6507,0.5806
unidentified,gcuIxaW_wCpqLsiwWopUQ,5,2298.58,?,?,,989,,
uncertain,updated_local,1,667.00,122Ag -> 122Cd removed_from_scheme,removed_from_scheme,"doublet, bad fit; removed from main scheme; no convincing coincidence support for 3169.71 level; former doublet split retained only as uncertain",11193,2.7335,2.4389
uncertain,updated_local,2,1667.15,uncertain,new?,,2081,1.0278,0.9171
uncertain,updated_local,3,1903.16,uncertain,new?,,1811,0.9977,0.8902
uncertain,updated_local,4,3297.71,uncertain,new?,3808 keV single escape?,1067,0.9535,0.8507
uncertain,updated_local,5,1506.16,uncertain,new?,,1984,0.9027,0.8054
uncertain,updated_local,6,2246.73,uncertain,new?,,1371,0.8699,0.7762
uncertain,updated_local,7,1218.99,uncertain,new?,,2096,0.8073,0.7203
uncertain,updated_local,8,2159.57,uncertain,new?,,1312,0.8049,0.7181
