transition_id,peak_id,level_initial_id,level_final_id,decay_parent,decay_daughter,e_gamma_keV,de_gamma_keV,e_level_initial_keV,e_level_final_keV,origin,quality_flag,comment,fwhm_keV,fwhm_err_percent,integral_counts,integral_err,efficiency,efficiency_err,fit_error_percent,emitted,emitted_err,emitted_plus_ic,emitted_plus_ic_err,relative_percent,relative_err_percent,absolute_percent,absolute_err_percent,absolute_sum_percent,alpha_tot,multipolarity,icc_no_ic,icc_E1,icc_M1,icc_E2,icc_M2,icc_E3,icc_M3,icc_E4,icc_M4,icc_E5,icc_M5,in_scheme,source_table
tr_lv_2923_lv_2823,pk_100p42,lv_2923,lv_2823,122Ag,122Cd,100.42,0.11,2923.29,2822.87,new,normal,,1.84,8.54,6865,83,0.11733,0.01918,16.34339,58511,9825,144697,24297,1.1288,0.0749,1.0071,0.0672,287.792024437956,1.473,E2,,0.1649,0.4576,1.473,4.686,14.78,41.62,184.5,395.9,2492,4144,true,122Ag_summary_ENDGAME_scheme
tr_lv_2644_lv_2536,pk_108p54,lv_2644,lv_2536,122Ag,122Cd,108.54,0.11,2644.12,2535.66,2008 work,normal,,1.69,2.01,6583,81,0.11907,0.01577,13.24040,55287,7451,249844,33671,1.9490,0.0574,1.7390,0.0527,,3.519,M2,,0.1321,0.3676,1.116,3.519,10.25,29.44,115.4,261.5,1422,2530,true,122Ag_summary_ENDGAME_scheme
tr_lv_2616_lv_2502,pk_114p11,lv_2616,lv_2502,122Ag,122Cd,114.11,0.10,2616.22,2502.11,2008 work,doublet_affected,doublet?,1.78,0.77,28789,170,0.11882,0.01389,11.68916,242290,28714,270056,32005,2.1067,0.2216,1.8796,0.1982,,0.1146,E1,,0.1146,0.3196,0.9342,2.929,8.115,23.59,85.6,200.6,995,1847,true,122Ag_summary_ENDGAME_scheme
tr_lv_2644_lv_2502,pk_141p95,lv_2644,lv_2502,122Ag,122Cd,141.95,0.12,2644.12,2502.11,new,normal,,1.69,4.13,3618,60,0.10984,0.00795,7.23330,32933,2395,76800,5584,0.5991,0.0192,0.5345,0.0175,,1.332,M2,,0.06151,0.1744,0.4301,1.332,2.995,9.085,24.13,64.33,216.9,482.2,true,122Ag_summary_ENDGAME_scheme
tr_lv_2502_lv_2178,pk_324p60,lv_2502,lv_2178,122Ag,122Cd,324.60,0.10,2502.11,2177.64,known,normal,,2.03,0.23,39265,198,0.05698,0.00093,1.63162,689084,11246,745292,12164,5.8139,0.0996,5.1874,0.0960,,0.08157,M2,,0.006277,0.01947,0.02508,0.08157,0.09182,0.3082,0.3402,1.165,1.316,4.471,true,122Ag_summary_ENDGAME_scheme
tr_lv_2965_lv_2616,pk_348p77,lv_2965,lv_2616,122Ag,122Cd,348.77,0.11,2964.99,2616.22,new,normal,,2.07,6.61,7930,89,0.05360,0.00078,1.45266,147932,2149,150333,2184,1.1727,0.0227,1.0463,0.0216,,0.01623,M1,,0.005207,0.01623,0.01991,0.06504,0.06962,0.2346,0.245,0.8445,0.8943,3.077,true,122Ag_summary_ENDGAME_scheme
tr_lv_2444_lv_1979,pk_465p50,lv_2444,lv_1979,122Ag,122Cd,465.50,1.00,2444.47,1978.97,known,estimated_from_doublet_split,"doublet, bad fit",1.00,0.00,10698,103,0.04225,0.00040,0.94505,253230,2393,255237,2412,1.9911,0.0000,1.7765,0.0125,,0.007924,M1,,0.002529,0.007924,0.008199,0.02692,0.02418,0.08139,0.07059,0.243,0.2093,0.7285,true,122Ag_summary_ENDGAME_scheme
tr_lv_2644_lv_2178,pk_466p36,lv_2644,lv_2178,122Ag,122Cd,466.36,0.10,2644.12,2177.64,known,doublet_affected,"doublet, 665 keV coincidence",2.76,0.01,25473,160,0.04218,0.00039,0.93378,603862,5639,608625,5684,4.7478,0.0863,4.2361,0.0825,,0.007888,M1,,0.002518,0.007888,0.008154,0.02677,0.02403,0.08086,0.07006,0.2411,0.2075,0.7221,true,122Ag_summary_ENDGAME_scheme
tr_lv_2502_lv_1979,pk_523p14,lv_2502,lv_1979,122Ag,122Cd,523.14,0.10,2502.11,1978.97,known,normal,,2.14,0.09,45097,212,0.03851,0.00030,0.79156,1170991,9270,1177980,9325,9.1892,0.1066,8.1990,0.1113,,0.005969,M1,,0.001917,0.005969,0.005851,0.01908,0.01621,0.05403,0.04423,0.1503,0.1218,0.4188,true,122Ag_summary_ENDGAME_scheme
tr_lv_1910_lv_1368,pk_541p88,lv_1910,lv_1368,122Ag,122Cd,541.88,0.11,1909.97,1367.88,new,normal,,2.10,2.68,3073,55,0.03747,0.00028,0.75289,82008,617,82008,617,0.6397,0.0133,0.5708,0.0125,,,no IC,,0.001766,0.005484,0.005298,0.01723,0.01442,0.04785,0.03857,0.1304,0.104,0.3556,true,122Ag_summary_ENDGAME_scheme
