level_id,nucleus,E_level_keV,dE_level_keV,Jpi,Jpi_origin_year,T12_s,dT12_s,comments
lv_4955,122Cd,4955,0.275499546,,,,,
lv_4302,122Cd,4301.94,0.5,,,,,
lv_4135,122Cd,4134.9,0.177393602,,,,,
lv_4084,122Cd,4084.2,0.22,,,,,
lv_3809,122Cd,3808.6,0.15,,,,,
lv_3608,122Cd,3607.51,0.205912603,,,,,
lv_3555,122Cd,3554.8,0.3,,,,,
lv_3467,122Cd,3466.95,0.3,,,,,
lv_3050,122Cd,3050.48,0.2,,,,,
lv_2965,122Cd,2964.99,0.249198716,,,,,
lv_2936,122Cd,2935.58,0.154339811,,,,,
lv_2923,122Cd,2923.29,0.242899156,,,,,
lv_2854,122Cd,2854.24,0.205182845,,,,,
lv_2823,122Cd,2822.87,0.216564078,(8+),1990,,,
lv_2800,122Cd,2800.16,0.2,,,,,
lv_2702,122Cd,2702.14,0.232881397,,,,,
lv_2668,122Cd,2668.27,0.205182845,,,,,
lv_2644,122Cd,2644.12,0.2,,,,,
lv_2616,122Cd,2616.22,0.223606798,(8-),2008,1.35E-09,2.90E-10,
lv_2578,122Cd,2577.57,0.148660687,,,,,
lv_2536,122Cd,2535.66,0.2,,,,,
lv_2502,122Cd,2502.11,0.2,(7-),2008,2.40E-10,6.00E-11,
lv_2444,122Cd,2444.47,1.014889157,,,,,
lv_2316,122Cd,2315.85,0.156204994,,,,,
lv_2196,122Cd,2196.41,0.156204994,,,,,
lv_2178,122Cd,2177.64,0.173205081,(6+),1990,,,
lv_1992,122Cd,1992.05,0.148660687,0(+),1995,,,
lv_1979,122Cd,1978.97,0.173205081,"(3,4+)",1978,,,"Alternative assignment from 2008: (5-). Default kept as (3,4+) because this level appears beta-fed under current analysis assumptions."
lv_1910,122Cd,1909.97,0.156204994,(3-),1995,,,
lv_1705,122Cd,1704.59,0.148660687,0(+),1995,,,
lv_1368,122Cd,1367.88,0.1207,(2)+,1978,,,
lv_1329,122Cd,1328.92,0.141421356,(4+),1978,,,
lv_569,122Cd,569.36,0.1,2+,1971,1E-11,5E-12,
lv_0,122Cd,0,0,0+,,5.24,0.03,
